analysis_id,9646w67yoq5deg3
parameter_name,CD8+ alpha beta T cell percentage
mouse_life_stage,E12.5
pvalue,0.09587361
gene_symbol,Fgb
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_accession_id,MGI:99501
