analysis_id,qi0su989fyv7nx6
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:106100
parameter_id,MGP_IMM_081_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Etfdh
pvalue,0.3251243
