parameter_name,Eosinophils
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
pvalue,0.6430225
analysis_id,l6bl402ko8kl98e
gene_symbol,Hpca
mouse_strain,C57BL
parameter_id,IMPC_IMM_052_001
