analysis_id,uv6570v969pi4u5
mouse_strain,C57BL
gene_accession_id,MGI:95457
parameter_id,IMPC_OFD_020_001
gene_symbol,Mecom
parameter_name,Distance travelled - total
mouse_life_stage,E12.5
pvalue,0.9367464
