parameter_id,IMPC_ECG_028_001
gene_symbol,Clvs1
pvalue,0.4731255
mouse_strain,C57BL
analysis_id,qu34w05m6cq72p3
gene_accession_id,MGI:1921688
parameter_name,QT
mouse_life_stage,Early adult
