gene_symbol,Tatdn3
parameter_name,% Pre-pulse inhibition - Global
gene_accession_id,MGI:1916222
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ACS_037_001
analysis_id,55lh4y87x9063b5
pvalue,0.2698066
