analysis_id,p3o4w18n4wv587y
mouse_life_stage,Early adult
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
mouse_strain,C57BL
parameter_name,Corneal opacity
pvalue,0.141669
parameter_id,IMPC_EYE_008_001
