analysis_id,60cmku94ttnfcix
parameter_id,IMPC_CSD_047_001
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:99915
pvalue,0.2016257
gene_symbol,Lamb3
mouse_strain,C55BL
mouse_life_stage,Early adult
