analysis_id,49h9ewgzt537l57
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_013_001
gene_symbol,Nemp2
gene_accession_id,MGI:2444113
parameter_name,Periphery average speed
pvalue,0.7209529
