parameter_name,Phosphorus
mouse_strain,C57BL
parameter_id,IMPC_CBC_010_001
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
pvalue,0.5513242
gene_symbol,Hpca
analysis_id,ax1830p44m4p056
