analysis_id,stt8sja024kvp7y
parameter_name,CV
gene_symbol,Sla2
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
pvalue,0.9908407
mouse_strain,C57BL
parameter_id,IMPC_ECG_003_001
