gene_symbol,Ddx27
analysis_id,7u5o7op818jhvnz
mouse_strain,129SV
parameter_id,IMPC_XRY_021_001
pvalue,0.6720933
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
parameter_name,Humerus
