analysis_id,11ns243b23350pt
mouse_strain,C57BL
parameter_name,Follicular B cells - % of B2 cells
gene_symbol,Hpca
pvalue,0.5913581
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
parameter_id,MGP_IMM_048_001
