mouse_strain,C3H
analysis_id,jab7aauz1r73f1d
mouse_life_stage,Early adult
pvalue,0.2292421
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:95457
parameter_name,Ly6Clow monocyte number
gene_symbol,Mecom
