analysis_id,t583j0my7425b96
parameter_name,Transitional B Cells (CD21/35 low)
gene_accession_id,MGI:2442483
mouse_strain,C57BL
gene_symbol,Usp37
parameter_id,IMPC_IMM_069_001
pvalue,0.1504013
mouse_life_stage,Early adult
