parameter_id,ESLIM_011_001_702
parameter_name,Prepulse inhibition - PP2
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.5358773
mouse_life_stage,E9.5
gene_accession_id,MGI:1915087
analysis_id,d4a4x193o4za99s
