analysis_id,6kds99n3p6efx6r
parameter_name,Total bilirubin
gene_accession_id,MGI:99501
parameter_id,IMPC_CBC_008_001
mouse_life_stage,E12.5
pvalue,0.6268471
gene_symbol,Fgb
mouse_strain,C57BL
