analysis_id,so7od15u791y871
gene_symbol,Arpc2
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_009_001
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.6002999
gene_accession_id,MGI:1923959
