analysis_id,72pt6z0mfczps89
pvalue,0.6022327
parameter_name,center - resting time
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
gene_symbol,Frmpd1
parameter_id,M-G-P_007_001_011
mouse_strain,C57BL
