gene_symbol,Rab13
pvalue,0.9870416
mouse_life_stage,Early adult
parameter_name,Coat colouration
analysis_id,s7nng2076i7y044
parameter_id,M-G-P_026_001_004
mouse_strain,C57BL
gene_accession_id,MGI:1927232
