parameter_id,MGP_IMM_027_001
gene_accession_id,MGI:99605
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
gene_symbol,Cntfr
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,4s3v1q9pira25f3
pvalue,0.4285825
