parameter_name,Prepulse inhibition - PP2
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_702
mouse_strain,C57BL
pvalue,0.5579462
analysis_id,b1722f3s6gm7180
