analysis_id,97j0n1677aw03jk
pvalue,0.8675691
mouse_strain,C57BL
parameter_id,IMPC_ECG_010_001
mouse_life_stage,Early adult
gene_symbol,Pglyrp3
gene_accession_id,MGI:2685266
parameter_name,HRV
