parameter_name,MZB (CD21/35 high)
gene_accession_id,MGI:1927232
mouse_strain,C57BL
pvalue,0.324239
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
gene_symbol,Rab13
analysis_id,qd8z4c5k5382z98
