parameter_id,IMPC_IPG_012_001
parameter_name,Area under glucose response curve
gene_symbol,Mapkap1
analysis_id,qf80771wr1620z3
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_accession_id,MGI:2444554
pvalue,0.9134414
