parameter_name,Fructosamine
mouse_strain,C57BL
gene_symbol,Fgb
analysis_id,e710826fc5p3131
parameter_id,IMPC_CBC_020_001
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
pvalue,0.5296008
