analysis_id,01117ay6587soqv
gene_accession_id,MGI:106659
gene_symbol,Sprr1b
pvalue,0.3700957
parameter_id,MGP_PBI_035_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,IgD+ mature B cell number
