gene_symbol,Rhbg
gene_accession_id,MGI:1927379
mouse_strain,C57BL
analysis_id,mq8za7dw1gq07x7
parameter_id,IMPC_IMM_067_001
mouse_life_stage,Early adult
pvalue,0.6447855
parameter_name,Follicular B Cells (CD21/35+)
