parameter_name,Percentage center time
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_022_001
pvalue,0.9759835
analysis_id,vvhb24l566b4ffb
mouse_strain,C57BL
gene_symbol,Frmpd1
