parameter_id,UCD_OWT_008_001
parameter_name,Liver weight
pvalue,0.648964
gene_symbol,Bach2
gene_accession_id,MGI:894679
analysis_id,2n13ct526t4f004
mouse_life_stage,Early adult
mouse_strain,C57BL
