analysis_id,5t166p2932n5gn3
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,Center permanence time
gene_symbol,Zyg11b
mouse_life_stage,Early adult
pvalue,0.2341935
parameter_id,JAX_OFD_016_001
