analysis_id,9r5qnpvyw785s94
gene_accession_id,MGI:1917810
parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
gene_symbol,Wars2
parameter_id,M-G-P_007_001_008
mouse_life_stage,Early adult
pvalue,0.3538264
