analysis_id,1uv1fx632b60vn5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Snout morphology
pvalue,0.7418882
parameter_id,MGP_CSD_066_001
gene_symbol,Steap3
gene_accession_id,MGI:1915678
