analysis_id,68nmc608d2408h1
mouse_life_stage,Early adult
gene_symbol,Inpp1
pvalue,0.7276908
gene_accession_id,MGI:104848
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,129SV
parameter_id,MGP_PBI_011_001
