gene_symbol,Atf3
mouse_life_stage,Early adult
pvalue,0.4383349
parameter_name,Liver weight
mouse_strain,C57BL
parameter_id,UCD_OWT_008_001
gene_accession_id,MGI:109384
analysis_id,2are5a3h4b8s85h
