analysis_id,tqeb1r1wx101xfk
gene_accession_id,MGI:88461
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_079_001
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Col6a3
pvalue,0.9243889
