analysis_id,6lpke738o67kw48
parameter_name,eye size
gene_symbol,Casq1
parameter_id,ESLIM_001_001_117
pvalue,0.534641
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
