parameter_name,Anophthalmia
parameter_id,IMPC_GEO_048_002
pvalue,0.9310241
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rab22a
analysis_id,loxima4k836hij9
gene_accession_id,MGI:105072
