analysis_id,a7g7h614ov30579
mouse_strain,C57BL
parameter_id,IMPC_CSD_029_001
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
parameter_name,Activity (body position)
pvalue,0.2175334
gene_symbol,Bmi1
