gene_symbol,Dnajc8
pvalue,0.4777242
gene_accession_id,MGI:1915848
parameter_name,Retina (combined)
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
analysis_id,9n4j1o4x058mm4x
