parameter_name,Skull shape
analysis_id,s6c04o89619m50d
mouse_life_stage,Early adult
gene_symbol,Kdm4c
mouse_strain,C57BL
pvalue,0.5076032
gene_accession_id,MGI:1924054
parameter_id,CCP_XRY_001_001
