gene_symbol,Galnt13
analysis_id,0xhh867q065cx63
mouse_life_stage,Late adult
parameter_name,Skull shape
parameter_id,CCP_XRY_001_001
pvalue,0.8701697
gene_accession_id,MGI:2139447
mouse_strain,C57BL
