gene_symbol,Ivd
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_073_001
analysis_id,738u0y743784bk4
pvalue,0.6255918
mouse_strain,C57BL
gene_accession_id,MGI:1929242
