gene_symbol,Slx4ip
parameter_name,Mean-cell-volume
pvalue,0.3208113
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
parameter_id,M-G-P_016_001_005
analysis_id,apdc1qleqk31bx4
mouse_strain,C57BL
