parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.2143923
analysis_id,jvxu17i43itm18d
mouse_life_stage,Early adult
gene_accession_id,MGI:1915087
parameter_name,Total food intake
