analysis_id,w22j5l191or87h0
gene_symbol,Dmap1
mouse_strain,C57BL
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_life_stage,E12.5
gene_accession_id,MGI:1913483
pvalue,0.9256464
parameter_id,MGP_MLN_076_001
