gene_symbol,Rhbg
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_018_001
gene_accession_id,MGI:1927379
pvalue,0.4671279
analysis_id,q4a0i82q0450810
parameter_name,Glucose
