gene_symbol,Ddx27
pvalue,0.06800763
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,IgD+ mature B cell number
gene_accession_id,MGI:2385884
analysis_id,9633u7ctyv224rd
parameter_id,MGP_PBI_035_001
