parameter_name,Ly6Clow monocyte number
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
pvalue,0.08666955
analysis_id,5601k8r009c5p24
mouse_strain,C57BL
gene_symbol,Gfi1b
