parameter_id,MGP_PBI_034_001
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_name,B cell number
mouse_life_stage,Early adult
analysis_id,4g8pkjabhcd2h96
pvalue,0.4735907
