gene_symbol,Cpa3
mouse_strain,C57BL
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:88479
parameter_id,IMPC_ACS_035_001
pvalue,0.8757269
analysis_id,4a42t44869e4mz3
mouse_life_stage,Early adult
