analysis_id,r5ir6zpf233f225
pvalue,0.153194
mouse_strain,C57BL
gene_symbol,Wars2
parameter_name,HRV
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1917810
