parameter_name,Contact righting
mouse_life_stage,E15.5
gene_symbol,Bmi1
gene_accession_id,MGI:88174
parameter_id,JAXLA_CSD_077_001
mouse_strain,C57BL
pvalue,0.6806822
analysis_id,y1yb6371ixo7ig0
