analysis_id,0q9696k8ple3002
mouse_strain,C57BL
gene_symbol,Hpca
gene_accession_id,MGI:1336200
parameter_name,UIBC (unsaturated iron binding capacity)
parameter_id,IMPC_CBC_024_001
mouse_life_stage,Early adult
pvalue,0.2354102
