parameter_id,IMPC_GPP_004_001
mouse_life_stage,E15.5
analysis_id,95a1b8qx3ag56ff
pvalue,0.6341724
parameter_name,Placenta Size
gene_accession_id,MGI:88174
mouse_strain,C57BL
gene_symbol,Bmi1
