gene_symbol,Kif24
pvalue,0.6427454
analysis_id,t45j2zk5mgrdyli
gene_accession_id,MGI:1918345
parameter_name,center - resting time
parameter_id,M-G-P_007_001_011
mouse_strain,C57BL
mouse_life_stage,Early adult
