analysis_id,98shbk50v0906bf
mouse_strain,C57BL
parameter_id,IMPC_GEP_017_001
pvalue,0.3299603
gene_accession_id,MGI:1916363
gene_symbol,Alkbh3
parameter_name,Facial Morphology
mouse_life_stage,Early adult
