parameter_id,JAX_URI_002_001
pvalue,0.2851082
gene_symbol,Slc28a2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Creatinine
analysis_id,431et228uy25irb
gene_accession_id,MGI:1913105
