analysis_id,5rh17sbyme7y4y9
mouse_life_stage,E9.5
parameter_name,Hemoglobin
gene_symbol,Dmap1
pvalue,0.1732149
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
gene_accession_id,MGI:1913483
