gene_symbol,Usp37
parameter_name,Periphery distance travelled
analysis_id,ab0644896s7e7b9
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2442483
parameter_id,JAX_OFD_010_001
pvalue,0.710265
