analysis_id,55qdogyf179c984
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_life_stage,Early adult
gene_symbol,Dnajc5b
pvalue,0.05077932
parameter_id,IMPC_FEA_106_001
mouse_strain,C58BL
gene_accession_id,MGI:1913576
