parameter_name,Center distance travelled
gene_accession_id,MGI:1914515
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
gene_symbol,Slc39a10
analysis_id,1i4nxnqqpg5k376
pvalue,0.5581753
