analysis_id,c43e6hq4983dh20
pvalue,0.1208891
parameter_id,IMPC_GEO_011_001
mouse_strain,129SV
gene_accession_id,MGI:104848
parameter_name,Blood Vessel Morphology
gene_symbol,Inpp1
mouse_life_stage,Early adult
