parameter_name,Eosinophil number
parameter_id,MGP_PBI_040_001
gene_symbol,Psd4
analysis_id,t2th1yv7kqp039r
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
pvalue,0.9807178
